"Cruise";"Stations"
"ETS_2018_02_14";"ETS_020,ETS_050,ETS_075,ETS_100,ETS_125,ETS_150,ETS_175,ETS_200,ETS_500"
"ETS_2018_03_12";"ETS_020,ETS_050,ETS_075,ETS_100,ETS_125,ETS_150,ETS_175,ETS_200,ETS_500"
"ETS_2018_05_16";"ETS_020,ETS_050,ETS_075,ETS_100,ETS_125,ETS_150,ETS_175,ETS_200,ETS_500"
"ETS_2018_09_10";"ETS_020,ETS_050,ETS_075,ETS_100,ETS_125,ETS_150,ETS_175,ETS_200,ETS_500"
"ETS_2019_04_03";"ETS_020,ETS_050,ETS_075,ETS_100,ETS_125,ETS_150,ETS_175,ETS_200,ETS_500"
"ETS_2019_05_15";"ETS_020,ETS_050,ETS_075,ETS_100,ETS_125,ETS_150,ETS_175,ETS_200"
"ETS_2019_06_28";"ETS-020,ETS-050,ETS-075,ETS-100,ETS-125,ETS-150,ETS-175,ETS-200,ETS-500"
"MEDPOL-DIPTAR March 2015";"DBE8,ERDSWR,MERSIN BATI REF-(2.)"
"Mersin bay - Rhodes, Jul 2012";"44,BKF1,BKF2,BKF3,BKF4,BKF5,BKF6,BKF7"
"MIP April 2015";"Erdemli"
"Monitoring, Aug 2016";"DBE-8,ERD-7,ERDSWR,MERSIN-BATI-REF"
"Monitoring, Aug 2017";"ERDSWR"
"Monitoring, Aug 2018";"DBE-8 / ETS_075,ERDSWR,ETS_020,ETS_050,ETS_100,ETS_125,ETS_150,ETS_175,ETS_500,MERSIN-BATI-REF / ETS_200"
"Monitoring, Feb 2018";"DBE-8,ERDSWR,MERSIN-BATI-REF"
"Monitoring, Feb 2019";"ERDSWR,ETS_200 (MERSIN-BATI-REF),ETS_75 (DBE-8)"
"Project 116Y125, Apr 2018";"01-ETS_020,02-ETS_050,03-ETS_075,04-ETS_100,05-ETS_125,06-ETS_150,07-ETS_175,08-ETS_200,09-ETS_500"
"Project 116Y125, Feb 2018";"01-ETS_020,02-ETS_050,03-ETS_075,04-ETS_100,05-ETS_125,06-ETS_150,07-ETS_175,08-ETS_200,09-(ETS_500),10"
"Project 116Y125, Jun-Jul 2018";"01-ETS_020,02-ETS_050,03-ETS_075,04-ETS_100,05-ETS_125,06-ETS_150,07-ETS_175,08-ETS_200,08-ETS_200-2"
"TARAL-PRODUCTION - Jul 2010";"BAP1 (Sta_3a)"
"TARAL - Aug 2009";"G31R21(T46A)"
"UNLUATA Cruises: Cilician Basin";"G01R23,G18R18"
"UNLUATA Cruises: Erdemli";"WP382-3,WP382_2"
