Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	St_ID	Pressure [dBar]	QV:SEADATANET	Temperature, ITS-90 [degrees C]	QV:SEADATANET	Salinity [per mille]	QV:SEADATANET	DOW [µM]	QV:SEADATANET	Oxygen Saturation [%]	QV:SEADATANET	Oxygen, SBE 43 [mg/l]	QV:SEADATANET	Total Chl-a [µg/l]	QV:SEADATANET	pH	QV:SEADATANET	NH4 [µM]	QV:SEADATANET	NO2-N [µM]	QV:SEADATANET	NO3-N+NO2-N [µM]	QV:SEADATANET	PO4 [µM]	QV:SEADATANET	TP [µM]	QV:SEADATANET	TPP [µM]	QV:SEADATANET	Si [µM]	QV:SEADATANET	POC [µM]	QV:SEADATANET	PON [µM]	QV:SEADATANET	TSS [mg/l]	QV:SEADATANET	SD [m]	QV:SEADATANET	TRIX (Chem)	QV:SEADATANET	TRIX	QV:SEADATANET	QV:SEADATANET:SAMPLE
Cruise 1986-05	TU2(25)	B	1986-04-15T23:45:00	34.75694	36.50028	120	41106	0	1	18.66764	5	38.9794	5		9		9		9	0.12	1		9		9	0.31	1	6.77	2	0.72	1		9		9		9		9		9	0.95	1		9		9		9	0
								5	1	18.66562	1	38.9792	1		9		9		9		9		9		9	0.43	1	6.33	2	0.03	1		9		9		9		9		9		9		9		9		9	0
								15	1	18.57601	5	38.9804	5		9		9		9		9		9		9	0.13	1	4.94	2	0.06	1		9		9		9		9		9		9		9		9		9	0
								25	1	18.27463	5	38.9854	5		9		9		9		9		9		9	0.2	1	6.21	2	2.14	3		9		9		9		9		9		9		9		9		9	0
								50	1	17.45325	5	38.9919	5		9		9		9		9		9		9	0.26	1	16.21	3	0.03	1		9		9		9		9		9		9		9		9		9	0
								76	1	17.26585	1	39.0016	1		9		9		9		9		9		9	0.4	1		9	0.02	6		9		9		9		9		9		9		9		9		9	0
								101	1	17.11468	1	39.0059	1		9		9		9		9		9		9	0.41	1		9	0.03	1		9		9		9		9		9		9		9		9		9	0
Cruise 1986-05	TU3(20)	B	1986-04-16T02:00:00	35.00000	36.50000	65	41107	0	1	18.61565	5	38.9171	5		9		9		9	0.17	1		9		9	0.26	1		9	0.24	1		9		9		9		9		9	2.51	1		9		9		9	0
								15	1	18.39366	1	38.9619	1		9		9		9		9		9		9	0.18	1	2.96	1	0.18	1		9		9		9		9		9		9		9		9		9	0
								25	1	17.5838	1	39.0023	1		9		9		9		9		9		9	0.16	1	5.4	3	0.1	1		9		9		9		9		9		9		9		9		9	0
								50	1	17.2683	1	38.9976	1		9		9		9		9		9		9	0.33	1	8.23	3	0.04	1		9		9		9		9		9		9		9		9		9	0
Cruise 1986-05	TU4(15)	B	1986-04-16T04:13:00	35.25000	36.43333	60	41108	0	1	18.29904	5	38.9548	5		9		9		9	0.15	1		9		9	0.21	1	8.47	2	0.01	1		9		9		9		9		9	3.03	1		9		9		9	0
								5	1	18.2958	1	38.9558	1		9		9		9		9		9		9	0.42	1	6.61	2	0.05	1		9		9		9		9		9		9		9		9		9	0
								15	1	18.30597	1	38.9557	1		9		9		9		9		9		9	0.14	1		9	0.38	2		9		9		9		9		9		9		9		9		9	0
								25	1	17.95487	1	38.9627	1		9		9		9		9		9		9	0.37	1		9	0.23	1		9		9		9		9		9		9		9		9		9	0
								50	1	17.42962	1	38.9903	1		9		9		9		9		9		9	0.4	1	4.38	1	0.12	1		9		9		9		9		9		9		9		9		9	0
Cruise 1986-05	425A	B	1986-04-16T18:05:00	34.89167	35.91667	1100	41114	0	1	18.63079	5	38.9968	5		9		9		9	0.03	1		9		9	0.22	1	5.04	2	0.04	1		9		9		9		9		9	0.52	1		9		9		9	0
								5	1	18.62703	1	39.0002	1		9		9		9		9		9		9	0.23	1	5.07	2	0.04	1		9		9		9		9		9		9		9		9		9	0
								15	1	18.50554	1	39.013	1		9		9		9		9		9		9	0.14	1	2.84	1	0.13	1		9		9		9		9		9		9		9		9		9	0
								40	1	18.06901	1	39.0056	1		9		9		9		9		9		9	0.21	1	2.91	1	0.02	6		9		9		9		9		9		9		9		9		9	0
								50	1	17.59993	1	38.9768	1		9		9		9		9		9		9	0.06	1	2.57	1	0.07	1		9		9		9		9		9		9		9		9		9	0
								101	1	16.95481	1	39.0062	1		9		9		9		9		9		9	0.46	3	3.7	1	0.3	1		9		9		9		9		9		9		9		9		9	0
								151	1	16.30106	5	38.9844	5		9		9		9		9		9		9	0.28	1	4.19	1	0.31	1		9		9		9		9		9		9		9		9		9	0
								403	1	14.15534	1	38.7758	1		9		9		9		9		9		9	0.13	1	7.63	1	0.26	1		9		9		9		9		9		9		9		9		9	0
								656	1	13.73119	1	38.6841	1		9		9		9		9		9		9	1.78	3	1.78	1	0.08	1		9		9		9		9		9		9		9		9		9	0
								909	1	13.63407	5	38.6562	5		9		9		9		9		9		9	0.11	1	8.41	1	0.04	1		9		9		9		9		9		9		9		9		9	0
Cruise 1986-05	225	B	1986-04-16T21:10:00	34.75000	36.00000	700	41115	0	1	18.58454	5	38.9892	5		9		9		9	0.07	1		9		9	0.13	1	2.76	1		9		9		9		9		9		9	2.27	1		9		9		9	0
								5	1	18.58454	1	38.9892	1		9		9		9		9		9		9	0.13	1	3.1	1	0.19	1		9		9		9		9		9		9		9		9		9	0
								15	1	18.58753	1	39.0061	1		9		9		9		9		9		9	0.29	1	6.32	3	0.5	2		9		9		9		9		9		9		9		9		9	0
								25	1	18.51003	1	39.009	1		9		9		9		9		9		9	0.33	1	4.04	1	0.12	1		9		9		9		9		9		9		9		9		9	0
								50	1	17.23063	5	39.025	5		9		9		9		9		9		9	0.15	1	3.57	1	0.47	2		9		9		9		9		9		9		9		9		9	0
								101	1	16.43388	1	38.9823	1		9		9		9		9		9		9		9		9	0.26	1		9		9		9		9		9		9		9		9		9	0
Cruise 1986-05	30	B	1986-04-17T02:10:00	34.51389	36.49889	130	41118	0	1	18.62067	5	38.9649	5		9		9		9	0.09	1		9		9	0.13	1		9	0.29	1		9		9		9		9		9		9		9		9		9	0
								5	1	18.62113	1	38.9681	1		9		9		9		9		9		9	0.04	1	2.59	1	0.22	2		9		9		9		9		9		9		9		9		9	0
								15	1	18.62752	1	38.9698	1		9		9		9		9		9		9	0.18	1	3.42	1	0.07	1		9		9		9		9		9		9		9		9		9	0
								25	1	18.46264	1	38.9703	1		9		9		9		9		9		9	0.15	1	0.46	1	0.04	1		9		9		9		9		9		9		9		9		9	0
								50	1	17.68964	1	39.0103	1		9		9		9		9		9		9	0.06	1	1.37	1	0.07	1		9		9		9		9		9		9		9		9		9	0
								76	1	17.34387	1	39.0071	1		9		9		9		9		9		9	0.06	1	1.32	1	0.05	1		9		9		9		9		9		9		9		9		9	0
								101	1	17.15829	1	39.011	1		9		9		9		9		9		9	0.04	1	1.95	1	0.39	3		9		9		9		9		9		9		9		9		9	0
Cruise 1986-05	240	B	1986-04-18T00:07:00	34.00000	36.00000	800	41122	0	1	18.89511	5	38.9392	5		9		9		9	0.1	1		9		9	0.41	2	1.99	1	0.05	1		9		9		9		9		9	2.12	1		9		9		9	0
								20	1	18.59432	1	38.9137	1		9		9		9		9		9		9	0.43	2	2.13	1	0.17	1		9		9		9		9		9		9		9		9		9	0
								30	1	17.94835	1	38.9653	1		9		9		9		9		9		9	0.38	2	2.06	1	0.04	1		9		9		9		9		9		9		9		9		9	0
								81	1	17.18639	1	39.0084	1		9		9		9		9		9		9	0.36	2	2.23	1	0.11	1		9		9		9		9		9		9		9		9		9	0
								106	1	17.01248	1	39.0231	1		9		9		9		9		9		9		9		9	0.48	3		9		9		9		9		9		9		9		9		9	0
								353	1	14.2963	1	38.8033	1		9		9		9		9		9		9	0.41	2	5.46	1	0.05	1		9		9		9		9		9		9		9		9		9	0
								454	1	13.90655	1	38.7278	1		9		9		9		9		9		9	0.41	2	5.71	1	0.21	1		9		9		9		9		9		9		9		9		9	0
								555	1	13.78039	1	38.6987	1		9		9		9		9		9		9	0.39	2	6.92	1	0.03	3		9		9		9		9		9		9		9		9		9	0
								757	1	13.61472	5	38.6569	5		9		9		9		9		9		9	0.38	2	5.65	1	0.37	1		9		9		9		9		9		9		9		9		9	0
Cruise 1986-10	30	B	1986-06-21T10:55:00	34.50000	36.50028	180	41521	0	1	24.90568	5	39.048	5		9		9		9	0.3	1		9		9		9	0.62	1	0.44	2		9		9		9		9		9	0.52	1		9		9		9	0
								5	1	24.83693	1	39.0426	1		9		9		9	0.11	1		9		9		9	2.13	1	0.25	2		9		9		9		9		9		9		9		9		9	0
								15	1	24.65565	1	39.0379	1		9		9		9	0.06	1		9		9		9	6.39	3		9		9		9		9		9		9		9		9		9		9	0
								25	1	21.77987	1	39.0491	1		9		9		9	0.11	1		9		9		9	2.8	1	0.21	2		9		9		9		9		9		9		9		9		9	0
								50	1	20.51667	1	38.9865	1		9		9		9	1.5	1		9		9		9	2.49	1	0.5	2		9		9		9		9		9		9		9		9		9	0
								76	1	19.51532	1	38.9625	1		9		9		9	0.23	1		9		9		9	3.46	1	0.2	2		9		9		9		9		9		9		9		9		9	0
								101	1	17.74744	1	38.9487	1		9		9		9		9		9		9		9	2.31	1	0.13	2		9		9		9		9		9		9		9		9		9	0
Cruise 1986-10	25	B	1986-06-21T13:00:00	34.75000	36.50000	105	41523	0	1	25.03735	5	39.0559	5		9		9		9	0.01	1		9		9		9	0.8	1	0.29	1		9		9		9		9		9	0.23	1		9		9		9	0
								5	1	24.81554	1	39.0645	1		9		9		9	0.3	1		9		9		9	0.1	6	0.34	1		9		9		9		9		9		9		9		9		9	0
								15	1	24.70284	1	39.0694	1		9		9		9		9		9		9		9	0.71	1	0.21	1		9		9		9		9		9		9		9		9		9	0
								25	1	23.64462	1	39.3205	1		9		9		9	0.4	1		9		9		9	2.93	1	0.46	2		9		9		9		9		9		9		9		9		9	0
								50	1	20.8364	1	39.007	1		9		9		9	0.12	1		9		9		9	3.59	1	0.21	2		9		9		9		9		9		9		9		9		9	0
								76	1	19.76208	1	38.9637	1		9		9		9	0.19	1		9		9		9	1.29	1	0.29	2		9		9		9		9		9		9		9		9		9	0
Cruise 1986-10	20	B	1986-06-21T14:45:00	35.01667	36.50000	65	41524	0	1	24.62494	5	39.0525	5		9		9		9	0.04	1		9		9		9	0.53	1	0.46	1		9		9		9		9		9	0.37	1		9		9		9	0
								5	1	24.30515	1	39.2116	3		9		9		9	0.04	1		9		9		9	3.46	1	0.19	1		9		9		9		9		9		9		9		9		9	0
								15	1	24.16132	1	39.0916	1		9		9		9	0.5	1		9		9		9	2.22	1	0.34	1		9		9		9		9		9		9		9		9		9	0
								25	1	23.13246	1	39.0606	1		9		9		9	0.03	1		9		9		9	0.71	1	0.21	1		9		9		9		9		9		9		9		9		9	0
								50	1	21.37354	1	38.9902	1		9		9		9	0.14	1		9		9		9	4.26	2	0.42	1		9		9		9		9		9		9		9		9		9	0
Cruise 1986-10	15	B	1986-06-21T16:40:00	35.28333	36.42500	65	41525	0	1	24.61794	5	39.1173	5		9		9		9	0.16	1		9		9		9		9		9		9		9		9		9		9	0.58	1		9		9		9	0
								5	1	24.23806	1	39.1013	1		9		9		9	0.15	1		9		9		9	3.6	1	0.25	2		9		9		9		9		9		9		9		9		9	0
								15	1	23.53582	1	39.1769	1		9		9		9	0	6		9		9		9	4.53	1	0.35	2		9		9		9		9		9		9		9		9		9	0
								25	1	22.90648	1	39.0454	1		9		9		9	0.2	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
Cruise 1986-10	225	B	1986-06-22T11:40:00	34.72667	36.01028	750	41537	0	1	25.29939	5	39.0854	5		9		9		9	0.12	1		9		9	0.44	3		9		9		9		9		9		9		9	0.68	1		9		9		9	0
Cruise 1986-11	240	B	1986-06-24T01:05:00	34.00139	36.00000	900	41539	0	1	25.11341	5	39.1225	5		9		9		9	0.06	1		9		9		9	0.09	1		9		9		9		9		9		9	0.49	1		9		9		9	0
								5	1	25.11788	1	39.1221	1		9		9		9		9		9		9		9	0.27	1		9		9		9		9		9		9		9		9		9		9	0
								15	1	23.25826	1	39.0789	1		9		9		9		9		9		9		9	0.27	1		9		9		9		9		9		9		9		9		9		9	0
								25	1	20.60507	1	39.0066	1		9		9		9		9		9		9		9	1.33	1		9		9		9		9		9		9		9		9		9		9	0
								50	1	18.46	1	38.9602	1		9		9		9		9		9		9		9	0.22	1		9		9		9		9		9		9		9		9		9		9	0
								76	1	17.75068	1	38.9751	1		9		9		9		9		9		9		9	0.27	1		9		9		9		9		9		9		9		9		9		9	0
								101	1	17.37308	1	38.9703	1		9		9		9		9		9		9		9	0.13	1	0.32	1		9		9		9		9		9		9		9		9		9	0
								151	1	16.88063	1	38.9829	1		9		9		9		9		9		9		9	0.31	1	0.27	1		9		9		9		9		9		9		9		9		9	0
								252	1	15.60316	1	38.9783	1		9		9		9		9		9		9		9	1.6	1	0.21	1		9		9		9		9		9		9		9		9		9	0
								504	1	13.94207	1	38.7263	1		9		9		9		9		9		9		9	4.79	1	0.3	1		9		9		9		9		9		9		9		9		9	0
								757	1	13.62442	1	38.6534	1		9		9		9		9		9		9		9	5.15	1	0.35	1		9		9		9		9		9		9		9		9		9	0
Cruise 1986-11	245	B	1986-06-24T15:05:00	33.73944	35.97055	880	41553	0	1	25.48875	5	39.0287	5		9		9		9		9		9		9		9	0.13	1		9		9		9		9		9		9	0.31	1		9		9		9	0
Cruise 1986-11	250	B	1986-06-24T17:17:00	33.49944	35.93195	960	41555	0	1	25.50555	5	39.1289	5		9		9		9		9		9		9		9	0.18	1		9		9		9		9		9		9	0.25	1		9		9		9	0
Cruise 1986-11	253	B	1986-06-25T08:35:00	33.25056	35.93361	860	41569	0	1	25.15211	5	39.0887	5		9		9		9	0.03	1		9		9		9	0.18	1	0.42	2		9		9		9		9		9	0.49	1		9		9		9	0
								5	1	25.11967	1	39.0817	1		9		9		9	0.05	1		9		9		9	0.22	1	0.17	1		9		9		9		9		9		9		9		9		9	0
								15	1	23.78218	1	39.0201	1		9		9		9	0.03	1		9		9		9	0.27	1	0.17	1		9		9		9		9		9		9		9		9		9	0
								25	1	21.64888	1	39.0615	1		9		9		9	0.04	1		9		9		9	0.18	1	0.33	2		9		9		9		9		9		9		9		9		9	0
								30	1	20.65133	1	39.0231	1		9		9		9	0.03	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
								35	1	20.2919	1	39.0016	1		9		9		9	0.05	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
								40	1	19.93164	1	39.0166	1		9		9		9	0.03	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
								45	1	19.35686	1	39.0124	1		9		9		9	0.05	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
								50	1	18.82634	1	38.9929	1		9		9		9	0.03	1		9		9		9	0.18	1	0.17	1		9		9		9		9		9		9		9		9		9	0
								76	1	17.48811	1	38.9702	1		9		9		9		9		9		9		9	0.18	1	0.25	1		9		9		9		9		9		9		9		9		9	0
								101	1	17.13788	1	38.9803	1		9		9		9		9		9		9		9	0.18	1	0.33	1		9		9		9		9		9		9		9		9		9	0
								151	1	16.52326	1	38.972	1		9		9		9		9		9		9		9	0.18	1	0.33	1		9		9		9		9		9		9		9		9		9	0
								252	1	15.44372	1	38.9576	1		9		9		9		9		9		9		9	1.15	1	0.33	1		9		9		9		9		9		9		9		9		9	0
								504	1	13.81204	1	38.6946	1		9		9		9		9		9		9		9	4.53	1	0.5	2		9		9		9		9		9		9		9		9		9	0
								757	1	13.58663	1	38.6395	1		9		9		9		9		9		9		9	4.62	1	0.33	1		9		9		9		9		9		9		9		9		9	0
Cruise 1986-11	260	B	1986-06-25T10:48:00	32.99972	35.93389	820	41571	0	1	25.01268	5	38.9486	5		9		9		9		9		9		9		9	0.09	1	0.11	1		9		9		9		9		9	0.35	1		9		9		9	0
Cruise 1986-17	24	B	1986-11-12T18:50:00	34.33333	36.59444	50	42171	0	1	22.49632	5	39.1761	5		9		9		9		9		9		9		9	0.55	1	0.36	1		9		9		9		9		9	1.16	1		9		9		9	0
								5	1	22.49632	1	39.1761	1		9		9		9		9		9		9		9	0.93	1	0.47	1		9		9		9		9		9		9		9		9		9	0
								15	1	22.49057	1	39.1922	1		9		9		9		9		9		9		9	0.93	1	0.45	1		9		9		9		9		9		9		9		9		9	0
								25	1	22.48872	1	39.1943	1		9		9		9		9		9		9		9	11.57	2	0.49	1		9		9		9		9		9		9		9		9		9	0
								50	1	22.37702	5	39.1672	5		9		9		9		9		9		9		9	0.88	1	0.49	1		9		9		9		9		9		9		9		9		9	0
Cruise 1986-17	23	B	1986-11-12T21:10:00	34.61945	36.65833	55	42172	0	1	21.84286	5	39.2401	5		9		9		9	0.33	1		9		9		9	3.24	1	0.45	1		9		9		9		9		9	1.18	1		9		9		9	0
								5	1	21.84196	1	39.2407	1		9		9		9	0.29	1		9		9		9	7.36	2	0.51	1		9		9		9		9		9		9		9		9		9	0
								15	1	21.83817	1	39.2425	1		9		9		9	0.33	1		9		9		9	0.77	1	0.52	1		9		9		9		9		9		9		9		9		9	0
								25	1	21.67988	1	39.2357	1		9		9		9	0.34	1		9		9		9	0.77	1	0.49	1		9		9		9		9		9		9		9		9		9	0
								50	1	21.68248	1	39.2332	1		9		9		9	0.33	1		9		9		9	0.6	1	0.43	1		9		9		9		9		9		9		9		9		9	0
Cruise 1986-17	22	B	1986-11-13T00:00:00	35.00000	36.50000	50	42173	0	1	22.55201	5	39.2308	5		9		9		9	0.16	1		9		9		9	0.82	1	0.11	1		9		9		9		9		9	3.62	1		9		9		9	0
								5	1	22.54641	1	39.2317	1		9		9		9	0.16	1		9		9		9	0.93	1	0.11	1		9		9		9		9		9		9		9		9		9	0
								15	1	22.56046	1	39.2304	1		9		9		9	0.17	1		9		9		9	0.38	1	0.17	1		9		9		9		9		9		9		9		9		9	0
								25	1	22.56421	1	39.2307	1		9		9		9	0.15	1		9		9		9	0.49	1	0.13	1		9		9		9		9		9		9		9		9		9	0
								45	1	22.5599	5	39.2304	5		9		9		9	0.16	1		9		9		9	0.27	1	0.19	1		9		9		9		9		9		9		9		9		9	0
Cruise 1986-17	51	B	1986-11-13T09:30:00	34.75000	36.00000	700	42176	0	1	21.20179	5	39.1299	5		9		9		9	0.07	1		9		9		9	1.59	1	0.15	1		9		9		9		9		9	0.43	1		9		9		9	0
								5	1	21.20179	1	39.1299	1		9		9		9		9		9		9		9	1.87	1	0.19	1		9		9		9		9		9		9		9		9		9	0
								15	1	21.20106	1	39.1319	1		9		9		9		9		9		9		9	0.91	1	0.15	1		9		9		9		9		9		9		9		9		9	0
								25	1	21.20562	1	39.1325	1		9		9		9		9		9		9		9	9.59	3	0.19	1		9		9		9		9		9		9		9		9		9	0
								50	1	21.17633	1	39.1295	1		9		9		9	0.16	1		9		9		9	4.53	3	0.19	1		9		9		9		9		9		9		9		9		9	0
								76	1	17.32367	1	38.9668	1		9		9		9		9		9		9		9	3.16	1	0.34	3		9		9		9		9		9		9		9		9		9	0
								101	1	16.46439	1	38.9768	1		9		9		9	0.05	1		9		9		9	1.32	1	0.15	1		9		9		9		9		9		9		9		9		9	0
								252	1	14.90874	1	38.9311	1		9		9		9		9		9		9		9	4.62	1	0.17	1		9		9		9		9		9		9		9		9		9	0
								504	1	13.70431	1	38.7115	1		9		9		9		9		9		9		9	6.87	1	0.79	3		9		9		9		9		9		9		9		9		9	0
								605	1	13.63525	1	38.6917	1		9		9		9		9		9		9		9	7.03	1	0.41	1		9		9		9		9		9		9		9		9		9	0
								707	1	13.60471	5	38.6821	5		9		9		9		9		9		9		9	7.14	1	0.36	1		9		9		9		9		9		9		9		9		9	0
Cruise 1986-17	25	B	1986-11-15T00:25:00	34.00000	36.00000	900	42178	0	1	21.32817	5	39.1487	5		9		9		9		9		9		9		9	0.1	6	0.19	1		9		9		9		9		9	0.23	1		9		9		9	0
								5	1	21.32817	1	39.1487	1		9		9		9		9		9		9		9	1.79	1	0.15	1		9		9		9		9		9		9		9		9		9	0
								15	1	21.34194	1	39.1479	1		9		9		9		9		9		9		9	1.65	1	0.3	3		9		9		9		9		9		9		9		9		9	0
								25	1	21.06423	1	39.0809	1		9		9		9		9		9		9		9	1.84	1	0.11	1		9		9		9		9		9		9		9		9		9	0
								50	1	20.59848	1	39.0652	1		9		9		9		9		9		9		9	1.32	1	0.11	1		9		9		9		9		9		9		9		9		9	0
								76	1	18.52196	1	38.7713	1		9		9		9		9		9		9		9	1.15	1	0.11	1		9		9		9		9		9		9		9		9		9	0
								101	1	17.6475	1	38.9602	1		9		9		9		9		9		9		9	1.59	1	0.09	1		9		9		9		9		9		9		9		9		9	0
								151	1	16.54428	1	38.9873	1		9		9		9		9		9		9		9	1.54	1	0.34	1		9		9		9		9		9		9		9		9		9	0
								252	1	15.43232	1	38.9882	1		9		9		9		9		9		9		9	2.86	1	0.19	1		9		9		9		9		9		9		9		9		9	0
								504	1	13.85009	1	38.7425	1		9		9		9		9		9		9		9	8.96	1	0.49	1		9		9		9		9		9		9		9		9		9	0
Cruise 1987-07	23	B	1987-02-20T17:15:00	34.71667	36.63334	75	42594	0	1	16.69066	5	38.8586	5		9		9		9	0.52	1		9		9	0.1	1		9	0.04	1		9		9		9		9		9	0.64	1		9		9		9	0
								10	1	16.67196	1	38.8706	1		9		9		9	0.49	1		9		9	0.1	1	0.63	1	0.05	1		9		9		9		9		9		9		9		9		9	0
								25	1	16.66197	1	38.8985	1		9		9		9	0.46	1		9		9	0.08	1	0.29	1	0.04	1		9		9		9		9		9		9		9		9		9	0
								50	1	16.65164	1	38.9145	1		9		9		9	0.6	1		9		9	0.08	1		9	0.05	1		9		9		9		9		9		9		9		9		9	0
Cruise 1987-07	22	B	1987-02-20T18:40:00	34.78333	36.46667	110	42595	0	1	16.93271	5	38.8615	5		9		9		9		9		9		9	0.08	1	0.29	1	0.05	1		9		9		9		9		9	1.2	1		9		9		9	0
								25	1	16.95985	1	38.9114	1		9		9		9		9		9		9		9	0.08	1	0.04	1		9		9		9		9		9		9		9		9		9	0
								50	1	16.95437	1	38.9224	1		9		9		9		9		9		9		9	0.12	1	0.03	1		9		9		9		9		9		9		9		9		9	0
								76	1	17.00068	1	38.9475	1		9		9		9		9		9		9	0.2	1	0.27	1	0.04	1		9		9		9		9		9		9		9		9		9	0
								101	1	16.86376	1	38.9147	1		9		9		9		9		9		9	0.18	1	0.2	1	0.06	1		9		9		9		9		9		9		9		9		9	0
Cruise 1987-07	21	B	1987-02-20T20:15:00	34.85833	36.31667	160	42596	0	1	17.00103	5	38.8636	5		9		9		9		9		9		9	0.06	1	0.28	1	0.04	1		9		9		9		9		9	0.33	1		9		9		9	0
								10	1	16.99511	1	38.8774	1		9		9		9		9		9		9		9	0.03	1	0.05	1		9		9		9		9		9		9		9		9		9	0
								25	1	16.94395	1	38.8694	1		9		9		9		9		9		9	0.05	1		9	0.05	1		9		9		9		9		9		9		9		9		9	0
								50	1	16.95967	1	38.8812	1		9		9		9		9		9		9	0.09	1		9	0.04	1		9		9		9		9		9		9		9		9		9	0
								76	1	16.98057	1	38.9133	1		9		9		9		9		9		9	0.22	1		9	0.05	1		9		9		9		9		9		9		9		9		9	0
								101	1	16.9546	1	38.9273	1		9		9		9		9		9		9	0.25	1	0.42	1	0.06	1		9		9		9		9		9		9		9		9		9	0
								126	1	16.93092	1	38.9332	1		9		9		9		9		9		9	0.26	1	0.33	1	0.37	3		9		9		9		9		9		9		9		9		9	0
Cruise 1987-07	20	B	1987-02-20T22:00:00	34.93333	36.15833	300	42597	0	1	17.30433	5	38.943	5		9		9		9	0.41	1		9		9	0.21	1	0.42	1	0.04	1		9		9		9		9		9	0.25	1		9		9		9	0
								10	1	17.0575	1	39.0778	1		9		9		9	0.35	1		9		9	0.12	1	0.42	1	0.04	1		9		9		9		9		9		9		9		9		9	0
								25	1	17.05334	1	38.9319	1		9		9		9	0.33	1		9		9	0.14	1	0.16	1	0.03	1		9		9		9		9		9		9		9		9		9	0
								50	1	17.02428	1	38.9324	1		9		9		9	0.38	1		9		9	0.23	1	0.49	1	0.05	1		9		9		9		9		9		9		9		9		9	0
								76	1	17.01698	1	38.9333	1		9		9		9	0.38	1		9		9	0.23	1	0.87	1	0.03	1		9		9		9		9		9		9		9		9		9	0
								101	1	17.01172	1	38.9327	1		9		9		9	0.46	2		9		9	0.25	1	0.34	1	0.03	1		9		9		9		9		9		9		9		9		9	0
								126	1	17.00897	1	38.9324	1		9		9		9		9		9		9	0.24	1	0.38	1	0.03	1		9		9		9		9		9		9		9		9		9	0
								151	1	17.00782	1	38.9319	1		9		9		9	0.33	2		9		9		9	0.22	1	0.03	1		9		9		9		9		9		9		9		9		9	0
								202	1	17.01001	1	38.9304	1		9		9		9		9		9		9	0.28	1	0.55	1	0.05	1		9		9		9		9		9		9		9		9		9	0
								252	1	17.01465	1	38.9319	1		9		9		9	0.3	2		9		9	0.27	1	0.51	1	0.05	1		9		9		9		9		9		9		9		9		9	0
Cruise 1987-07	220	B	1987-02-21T00:15:00	35.00000	36.00000	900	42598	0	1	17.08578	5	38.9351	5		9		9		9	0.35	1		9		9	0.17	1	0.51	1	0.06	1		9		9		9		9		9	0.31	1		9		9		9	0
								10	1	17.09259	1	38.9393	1		9		9		9	0.35	1		9		9	0.11	1	0.3	1	0.05	1		9		9		9		9		9		9		9		9		9	0
								25	1	17.02854	1	38.938	1		9		9		9		9		9		9	0.12	1	0.24	1	0.05	1		9		9		9		9		9		9		9		9		9	0
								50	1	17.03108	1	38.9396	1		9		9		9	0.44	1		9		9	0.16	1	0.2	1	0.05	1		9		9		9		9		9		9		9		9		9	0
								76	1	17.02268	1	38.9366	1		9		9		9	0.38	1		9		9	0.17	1	0.6	1	0.02	1		9		9		9		9		9		9		9		9		9	0
								101	1	17.02613	1	38.9376	1		9		9		9	0.33	1		9		9	0.19	1	0.24	1	0.05	1		9		9		9		9		9		9		9		9		9	0
								126	1	17.03028	1	38.9379	1		9		9		9	0.33	1		9		9	0.17	1	0.33	1	0.03	1		9		9		9		9		9		9		9		9		9	0
								151	1	17.03924	1	38.9402	1		9		9		9	0.41	1		9		9	0.19	1	0.35	1	0.05	1		9		9		9		9		9		9		9		9		9	0
								202	1	17.05086	1	38.9422	1		9		9		9		9		9		9	0.21	1	0.31	1	0.04	1		9		9		9		9		9		9		9		9		9	0
								454	1	14.13743	1	38.7902	1		9		9		9		9		9		9	0.03	1	0.32	3	0.24	1		9		9		9		9		9		9		9		9		9	0
								707	1	13.5788	1	38.6707	1		9		9		9		9		9		9	0.02	1	5.02	1	0.25	1		9		9		9		9		9		9		9		9		9	0
								808	1		9		9		9		9		9		9		9		9	0.02	1	4.94	1	0.24	1		9		9		9		9		9		9		9		9		9	0
Cruise 1987-07	225	B	1987-02-22T01:20:00	34.75000	36.00000	760	42604	0	1	17.01599	5	38.9385	5		9		9		9		9		9		9	0.2	1	0.3	1	0.03	1		9		9		9		9		9	0.36	1		9		9		9	0
Cruise 1987-07	230	B	1987-02-22T03:30:00	34.50000	36.00000	820	42605	0	1	16.84883	5	38.9059	5		9		9		9		9		9		9	0.03	1	1.3	1	0.04	1		9		9		9		9		9	0.25	1		9		9		9	0
Cruise 1987-07	240	B	1987-02-22T15:15:00	34.00000	36.00000	840	42609	0	1	16.72929	5	39.0123	5		9		9		9	0.22	1		9		9		9	0.06	1	0.47	3		9		9		9		9		9	0.89	1		9		9		9	0
								10	1	16.73256	1	39.012	1		9		9		9	0.25	1		9		9		9	0.12	1	0.05	1		9		9		9		9		9		9		9		9		9	0
								50	1	16.69875	1	39.0135	1		9		9		9	0.25	1		9		9		9	0.05	1	0.05	1		9		9		9		9		9		9		9		9		9	0
